32,16,30
18,15,53
16,26,51
13,34,42
35,25,26
12,5,36
26,21,42
57,13,46
28,30,42
8,11,17
15,39,52
8,11,27
16,3,19
11,15,37
7,22,55
59,49,58
5,24,36
5,34,40
5,19,53
35,8,53
55,41,46
52,13,56
7,42,46
33,23,52
7,14,25
10,53,59
22,45,53
55,33,52
24,20,27
52,45,48
33,19,41
1,30,49
31,8,23
6,19,21
8,17,52
2,7,59
43,1,55
47,49,54
60,41,49
59,41,49
14,21,45
6,23,48
19,45,48
12,19,43
1,23,27
15,26,49
38,43,60
8,46,51
55,47,60
43,24,33
7,30,57
45,41,47
59,35,47
33,18,48
16,4,47
41,30,56
18,15,53
4,15,23
6,22,28
55,1,6
56,1,48
1,8,24
16,22,41
26,6,23
57,3,45
22,18,28
2,20,21
17,19,23
43,13,59
10,1,40
57,20,24
36,22,38
39,33,36
6,21,40
2,4,32
17,7,21
17,8,31
7,48,55
1,6,46
7,34,60
31,27,35
46,43,48
31,29,34
59,20,43
25,30,41
22,28,30
16,46,56
26,34,51
10,23,41
10,36,44
22,1,49
13,20,30
34,47,49
1,31,37
39,12,45
54,29,35
60,3,23
17,18,19
42,9,56
29,31,45
29,25,31
11,31,52
46,16,21
3,4,47
46,11,34
18,15,53
58,9,43
7,11,47
38,5,55
37,10,19
22,13,35
37,39,54
26,34,40
43,34,45
42,38,40
38,21,35
60,34,39
2,4,20
37,11,22
12,34,45
33,12,27
55,30,49
4,24,48
16,6,15
36,26,45
44,3,42
44,26,48
4,19,43
1,23,59
12,17,18
13,21,30
58,48,49
37,17,50
10,25,60
11,7,33
58,24,42
38,29,37
11,34,55
37,21,54
6,31,54
8,4,41
10,7,26
53,23,52
54,6,27
55,41,54
55,34,56
16,6,27
14,30,57
8,40,54
18,15,53
45,37,57
51,3,41
7,5,37
55,32,41
29,33,59
6,44,48
3,38,53
8,1,35
34,4,52
44,15,60
29,9,26
28,10,50
25,49,58
45,21,56
45,25,41
41,30,34
35,14,42
16,24,28
3,2,16
22,18,23
29,34,51
44,1,38
17,20,39
24,23,46
54,23,50
33,23,30
60,41,54
24,31,39
33,46,52
4,18,56
2,6,39
40,53,59
10,45,50
60,14,54
36,20,26
6,23,51
10,37,57
57,1,9
28,12,23
52,14,34
2,17,47
8,23,57
40,34,55
10,34,40
5,28,33
55,9,20
43,26,39
55,35,41
6,33,41
18,15,53
35,1,25
22,59,60
39,8,38
32,31,36
30,15,29
42,24,49
34,45,49
7,26,59
50,9,49
59,10,48
12,14,59
12,26,59
40,6,57
7,8,46
35,9,39
29,24,30
39,30,52
33,21,56
58,6,18
16,25,38
17,8,57
31,26,53
36,10,48
46,21,60
45,3,41
4,5,32
49,10,48
58,30,60
8,21,25
39,2,52
60,20,32
19,29,56
44,5,38
44,32,42
54,31,48
14,26,43
22,2,53
20,47,59
28,5,52
16,43,51
42,47,57
4,31,54
33,24,58
18,15,53
44,39,55
58,9,33
58,34,56
28,19,37
4,29,40
52,14,48
27,14,41
25,45,50
60,21,40
9,3,30
31,4,18
28,7,48
39,14,47
44,27,51
22,28,53
16,26,39
55,53,56
33,20,31
7,41,52
2,4,50
56,51,57
17,6,37
16,1,2
17,28,38
33,9,13
29,23,59
3,15,33
46,34,56
44,37,57
22,34,60
32,1,16
29,36,53
26,24,36
39,17,40
10,9,49
26,6,53
40,10,23
7,8,17
42,47,57
59,20,36
44,7,45
6,9,27
60,4,15
50,29,49
27,19,30
51,8,59
49,20,21
39,31,59
52,42,47
41,7,29
40,20,46
28,45,57
12,20,29
18,15,53
39,8,13
22,37,43
29,23,42
28,48,58
2,7,60
50,42,57
7,10,33
6,19,55
1,30,50
16,19,25
5,43,47
25,4,47
2,4,52
11,46,48
8,14,49
40,47,53
10,19,34
11,6,47
58,38,48
25,39,60
2,15,46
22,29,47
1,31,35
46,32,42
33,8,26
16,37,52
1,52,53
60,14,47
12,20,41
38,25,32
58,19,24
22,33,54
29,40,53
37,6,49
7,43,51
54,56,60
7,20,27
44,17,28
42,36,56
24,22,31
28,33,54
4,18,47
50,5,20
35,5,60
31,30,40
53,20,21
25,5,54
18,15,53
46,1,58
16,13,45
32,20,34
2,4,47
12,22,30
2,17,56
38,20,24
44,39,51
46,47,60
55,9,25
11,29,51
8,1,55
58,21,41
44,34,55
57,13,54
50,24,30
11,29,52
32,12,53
25,29,32
7,43,54
16,51,59
40,47,59
37,22,51
8,26,35
1,13,42
52,21,47
45,5,54
45,8,43
32,28,49
37,38,42
11,30,35
29,7,24
1,40,53
60,6,34
32,19,30
13,44,49
51,31,50
9,27,41
7,24,49
37,11,52
41,5,56
58,14,34
50,35,43
25,30,41
1,31,33
9,29,30
36,12,59
18,30,56
35,3,7
33,16,53
3,16,45
43,30,42
5,34,54
49,20,46
18,15,53
25,1,50
26,53,57
31,21,58
54,19,32
43,22,56
7,37,46
37,2,39
50,20,48
22,20,58
42,1,28
35,20,58
50,15,19
17,1,53
1,31,50
41,3,23
14,25,26
11,6,52
38,6,24
26,23,59
27,30,45
22,25,55
52,42,55
13,6,51
44,2,46
43,29,50
43,33,39
45,7,40
44,24,36
17,34,52
35,20,24
60,6,39
2,49,52
39,24,46
22,21,25
51,15,38
2,3,42
38,6,47
